date,y,yhat_lstm,yhat_lstm_0,yhat_lstm_1,predict,predicttrue
2017/12/21,-0.171264022,0,0.001912219,0.998087704,-0.085632011,0
2017/12/22,-0.16602681,0,0.115048915,0.884951115,-0.083013405,0
2017/12/25,-0.404376102,-1,0.588825941,0.411174059,0.202188051,1
2017/12/26,-0.32152701,-1,0.554878354,0.445121616,0.160763505,1
2017/12/27,-0.072587757,-1,0.561823606,0.438176394,0.036293879,1
2017/12/28,-0.082944536,0,0.061189994,0.938809991,-0.041472268,0
2017/12/29,-0.31654628,-1,0.739383936,0.260616004,0.15827314,1
2018/1/2,-0.581366807,-1,0.683721781,0.316278219,0.290683404,1
2018/1/3,-0.119539527,-1,0.686560512,0.313439429,0.059769764,1
2018/1/4,-0.296419781,-1,0.560490489,0.439509481,0.148209891,1
2018/1/5,-0.275704391,-1,0.596111715,0.403888285,0.137852196,1
2018/1/8,-0.437272951,-1,0.583405316,0.416594654,0.218636476,1
2018/1/9,-0.770596336,-1,0.856151283,0.143848702,0.385298168,1
2018/1/10,-0.807106883,-1,0.8653543,0.134645715,0.403553442,1
2018/1/11,-0.421886612,-1,0.584283769,0.415716231,0.210943306,1
2018/1/12,-0.244976798,-1,0.726025939,0.273974121,0.122488399,1
2018/1/15,-0.291651683,-1,0.612058401,0.387941569,0.145825842,1
2018/1/16,-0.052094187,-1,0.729170501,0.270829439,0.026047094,1
2018/1/17,-0.026049129,-1,0.753103256,0.246896699,0.013024565,1
2018/1/18,0.109497625,-1,0.516689003,0.483311057,-0.054748813,0
2018/1/19,0.224502144,-1,0.516689003,0.483311057,-0.112251072,0
2018/1/22,0.292352075,-1,0.516689003,0.483311057,-0.146176038,0
2018/1/23,0.260634009,0,2.72E-10,1,0.130317005,1
2018/1/24,0.146015879,0,0.460007071,0.539992869,0.07300794,1
2018/1/25,0.01564578,-1,0.588806808,0.411193162,-0.00782289,0
2018/1/26,0.078131108,-1,0.536682844,0.463317156,-0.039065554,0
2018/1/29,0.078127039,0,0.460007071,0.539992869,0.03906352,1
2018/1/30,-0.06255539,0,0.460007071,0.539992869,-0.031277695,0
2018/1/31,0.208387676,-1,0.582133949,0.417866051,-0.104193838,0
2018/2/1,0.281103777,-1,0.674844623,0.325155377,-0.140551889,0
2018/2/2,0.036434613,-1,0.690793097,0.309206933,-0.018217307,0
2018/2/5,0.104166676,-1,0.554652095,0.445347935,-0.052083338,0
2018/2/6,0.026070861,0,0.401019305,0.598980665,0.013035431,1
2018/2/7,0.057257373,0,0.205010027,0.794990003,0.028628687,1
2018/2/8,0.32746865,0,0.351894587,0.648105383,0.163734325,1
2018/2/9,0.841213809,0,3.02E-06,0.99999702,0.420606905,1
2018/2/12,0.648426601,0,0.383736283,0.616263747,0.324213301,1
2018/2/13,0.508141714,0,0.401019305,0.598980665,0.254070857,1
2018/2/14,0.632880672,0,0.401019305,0.598980665,0.316440336,1
2018/2/22,0.664109528,0,0.401019305,0.598980665,0.332054764,1
2018/2/23,0.820357664,0,0.026174614,0.973825395,0.410178832,1
2018/2/26,0.534552483,0,0.000863319,0.999136746,0.267276242,1
2018/2/27,0,0,0.322657853,0.677342176,0,0
2018/2/28,0.041358632,0,0.373857379,0.626142621,0.020679316,1
2018/3/19,0.491020498,0,0.477431923,0.522568107,0.245510249,1
2018/3/20,0.434109209,0,0.477431923,0.522568107,0.217054605,1
2018/3/21,0.26858133,0,0.477431923,0.522568107,0.134290665,1
2018/3/22,0.258304633,0,0.004887618,0.99511236,0.129152317,1
2018/3/23,0.067150497,0,0.477431923,0.522568107,0.033575249,1
2018/3/26,-0.211454732,0,0.477431923,0.522568107,-0.105727366,0
2018/3/27,-0.005156101,0,0.452356905,0.547643125,-0.002578051,0
2018/3/28,-0.170318227,0,0.452356905,0.547643125,-0.085159114,0
2018/3/29,-0.041256253,0,0.452356905,0.547643125,-0.020628127,0
2018/3/30,0.077321584,0,0.351034194,0.648965776,0.038660792,1
